camera,date,filename,location,time,url
OldSamsung,2019-10-17,20191017_064015,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064019,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064020,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064021,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064028,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064031,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064032,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064033,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064050,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064052,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064053,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064146,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064148,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064438,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064529,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064531(0),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_064531,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_072711,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_072717,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_072717_capture,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_072805,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_072808,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_072808_capture(0),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_072808_capture(1),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_072808_capture,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_072847,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_072847_capture(0),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_072847_capture(1),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_072847_capture,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_085014,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_085031,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_085032,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_091713,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_091717,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_091727,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_091731,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_091733,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_091741,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_091741_capture,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_091745,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_091750,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_091801,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_091807,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_091814,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_091814_capture,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095800,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095800_capture,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095806,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095806_capture(0),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095806_capture(1),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095806_capture,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095815,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095820,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095835,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095839,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095842,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095842_capture,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095856,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095903,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095904,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095906,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095906_capture,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095918,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095925,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095934,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095941,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_095951,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_102215,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_102308,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_102312,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_122932,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_122933,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_122933_capture(0),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_122933_capture(1),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_122935,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_122939,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_122939_capture(0),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_122939_capture(1),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_122939_capture,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_122941,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_122941_capture(0),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_122941_capture,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123113,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123115,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123119,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123120,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123218,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123218_capture,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123220,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123220_capture,Mauritius,NA,NA
