camera,date,filename,location,time,url
OldSamsung,2019-10-10,20191010_193800,Mauritius,NA,NA
OldSamsung,2019-10-10,20191010_193828,Mauritius,NA,NA
OldSamsung,2019-10-10,20191010_193904,Mauritius,NA,NA
OldSamsung,2019-10-10,20191010_193927,Mauritius,NA,NA
OldSamsung,2019-10-10,20191010_194858,Mauritius,NA,NA
OldSamsung,2019-10-11,20191011_115254,Mauritius,NA,NA
OldSamsung,2019-10-11,20191011_121326,Mauritius,NA,NA
OldSamsung,2019-10-11,20191011_121414,Mauritius,NA,NA
OldSamsung,2019-10-11,20191011_124854,Mauritius,NA,NA
OldSamsung,2019-10-11,20191011_130420,Mauritius,NA,NA
OldSamsung,2019-10-11,20191011_133715,Mauritius,NA,NA
OldSamsung,2019-10-11,20191011_134031,Mauritius,NA,NA
OldSamsung,2019-10-11,20191011_134139,Mauritius,NA,NA
OldSamsung,2019-10-11,20191011_134557,Mauritius,NA,NA
OldSamsung,2019-10-11,20191011_135131,Mauritius,NA,NA
OldSamsung,2019-10-11,20191011_165510,Mauritius,NA,NA
OldSamsung,2019-10-11,20191011_165615,Mauritius,NA,NA
OldSamsung,2019-10-11,20191011_180816,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_074848,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_081110,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_081353,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_092246,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_092420,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_095303,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_101401,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_104507,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_104519,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_105819,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_105839,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_123441,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_123644,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_125100,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_125730,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_125955,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_130047,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_152223,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_152240,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_152350,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_160046,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_160350,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_160437,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_160943,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_161034,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_161325,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_161343,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_161449,Mauritius,NA,NA
OldSamsung,2019-10-12,20191012_161901,Mauritius,NA,NA
OldSamsung,2018-01-14,VID-20180114-WA0000,Mauritius,NA,NA
