camera,date,filename,location,time,url
SM-S908B,9.December 2025,20251209_082349,20251209_082349,Tuesday 08:23,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::UFB1bmczZEhRNzNpcm1WQ2FZQkxvQT09?height=1080
SM-S908B,8.December 2025,20251208_183029,20251208_183029,Monday 18:30,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::aitOMWhSemlnL2dXZnlxdTJocGpGQT09?height=1080
SM-S908B,8.December 2025,20251208_130637,20251208_130637,Monday 13:06,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::N21sT3U3Rk9BVG9iZklBQmFnUGxadz09?height=1080
iPhone 15 Pro Max,8.December 2025,IMG_9428_1765220987272,IMG_9428_1765220987272,Monday 12:40,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::REJCWlFSdHNDVzFyMFk0OWF3T2RTZz09?height=1080
SM-S908B,6.December 2025,20251206_114800,20251206_114800,Saturday 11:48,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::MXZKdUMydUpPeU8veWRmVjNZSU9udz09?height=1080
SM-S908B,6.December 2025,20251206_114757,20251206_114757,Saturday 11:47,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::eGpMa0V4SHhLZGNtYysreENWVTFmQT09?height=1080
,6.December 2025,IMG_9425_1765273630161,IMG_9425_1765273630161,Saturday 02:32,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::NTJ5OHBkTkdHV1lRVlU1S0lFSy95UT09?height=1080
SM-S908B,5.December 2025,20251205_172938,20251205_172938,Friday 17:29,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::VUFFd2kvVXl0MEZLUHgyNE4vM0xXZz09?height=1080
SM-S908B,5.December 2025,20251205_172936,20251205_172936,Friday 17:29,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::S0gzL1pmby8vVHNoWlBETXkxUXlLUT09?height=1080
SM-S908B,5.December 2025,20251205_172931,20251205_172931,Friday 17:29,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::UXJxM3E0WWx3ZFl2eU9OekdjUzZTZz09?height=1080
